Hylak_ID,Bloom Occurrence 1980s,Bloom Occurrence 2010s
150362,1.37,0.048
150372,0.112,0.158
150376,1.089,0.456
150387,1.046,0.074
150397,3.218,3.511
150399,3.646,0.328
1504,21.796,38.053
150437,0.104,0
15045,0.371,1.54
150511,0.094,0.019
15059,5.381,26.201
15061,10.004,31.33
15064,0.124,12.226
15066,0.809,24.632
150661,0.249,0
15068,1.464,5.01
1507,3.429,8.032
150723,0.142,0.027
1508,11.093,28.003
15083,3.56,11.82
150836,0.107,0.085
15084,2.986,29.778
1509,16.861,42.16
15090,1.903,31.347
150922,0.184,0
150943,12.977,16.122
150959,0.983,0.321
15096,5.801,33.528
150991,3.853,1.098
151,2.445,7.793
151037,0.548,0.277
15107,4.846,11.538
151073,3.173,0.137
1511,7.853,17.995
15111,10.451,16.352
151129,3.299,0.906
151177,0.359,0
1512,5.997,32.902
15122,1.536,6.433
151279,0.574,0.15
151299,0.554,0.232
151333,1.496,0.666
151334,0.516,0.52
151337,3.298,1.903
15139,3.323,25.263
151404,0.89,0.339
151438,0.244,0.196
151479,9.71,14.818
1515,4.68,12.511
15155,2.4,16.865
151579,1.095,0
151622,0.933,0.112
151633,0.292,0.038
151683,3.223,0.215
1517,1.292,1.905
151705,0.79,0.109
151746,0.415,0.192
151794,1.435,0.623
151797,1.346,0.62
1518,2.969,15.68
151809,0.169,0
15181,6.169,15.568
151811,0.38,0.487
151826,0.869,0.138
15184,4.464,7.111
151870,1.739,0.062
151876,1.136,0
15199,5.301,8.013
151997,0.118,0
152,0.183,0.114
152001,0.895,1.188
15206,0.579,2.733
152074,0.768,0.028
1521,15.324,44.168
15211,0.075,0.369
15214,3.538,4.305
152152,1.767,0
15217,6.224,6.445
152212,2.487,0.338
152218,1.117,0.764
152271,6.067,4.824
152300,1.166,0.024
152368,4.969,0.048
152373,2.368,0.199
152379,0.305,0.098
1524,1.041,3.848
152411,5.759,0.158
152424,3.719,6.089
152441,1.275,0.015
152472,6.29,0.895
15249,5.497,10.566
152518,5.181,4.068
152543,1.18,0.012
15255,2.324,7.483
152557,0.189,0.181
15256,0.096,0.257
1526,9.4,23.921
15260,6.621,23.681
15263,11.373,17.727
152638,3.294,0.586
152671,1.629,0.085
15268,3.983,4.137
152694,0.471,0
15270,2.127,4.827
15274,2.687,20.858
15275,9.037,31.746
152752,0.118,0.034
152767,1.472,0.271
1528,0.315,0.373
15282,7.221,28.831
152824,0.588,0
152831,0.111,0
152857,0.723,0.1
15287,0.139,0.171
152917,0.608,0.067
152962,0.773,0.622
152984,0.66,0.283
15299,10.426,15.456
153,6.916,4.936
1530,13.116,8.979
153003,0.299,0
15301,2.343,8.589
